id_sub,t_sub,lifetime,cause,level
18193981.0,34246.033579798,3.9724023430026136,0,-3
18286174.0,34250.017118716,0.0009187499963445589,0,-8
18286315.0,34250.018164917,0.0006823760049883276,0,-5
18286630.0,34250.018969632,0.0023739809985272586,0,-9
18287021.0,34250.021449181,0.0011860320009873249,0,-4
18287108.0,34250.022735727,0.0030554379991372116,0,-14
18287319.0,34250.025896175,0.0022752180011593737,0,-4
18287475.0,34250.028299867,0.011179012995853554,0,-5
18288158.0,34250.039601702,0.003462039996520616,0,-6
18288309.0,34250.043167045,0.0019004900022991933,0,-4
18288361.0,34250.045175914,0.016620483998849522,0,-5
18289006.0,34250.061907749,0.0031578960042679682,0,-6
18289230.0,34250.065198504,0.001988085001357831,0,-4
18289323.0,34250.067315211,0.05083821099833585,0,-5
